Name,Type1,Type2
moltres,Fire,Flying
dratini,Dragon,none
dragonair,Dragon,none
dragonite,Dragon,Flying
mewtwo,Psychic,none
mew,Psychic,none
chikorita,Grass,none
bayleef,Grass,none
meganium,Grass,none
cyndaquil,Fire,none
quilava,Fire,none
typhlosion,Fire,none
totodile,Water,none
croconaw,Water,none
feraligatr,Water,none
sentret,Normal,none
furret,Normal,none
hoothoot,Normal,Flying
noctowl,Normal,Flying
ledyba,Bug,Flying
ledian,Bug,Flying
spinarak,Bug,Poison
ariados,Bug,Poison
crobat,Poison,Flying
chinchou,Water,Electric
lanturn,Water,Electric
pichu,Electric,none
cleffa,Fairy,none
igglybuff,Normal,Fairy
togepi,Fairy,none
togetic,Fairy,Flying
natu,Psychic,Flying
xatu,Psychic,Flying
mareep,Electric,none
flaaffy,Electric,none
ampharos,Electric,none
bellossom,Grass,none
marill,Water,Fairy
azumarill,Water,Fairy
sudowoodo,Rock,none
politoed,Water,none
hoppip,Grass,Flying
skiploom,Grass,Flying
jumpluff,Grass,Flying
aipom,Normal,none
sunkern,Grass,none
sunflora,Grass,none
yanma,Bug,Flying
wooper,Water,Ground
quagsire,Water,Ground
espeon,Psychic,none
umbreon,Dark,none
murkrow,Dark,Flying
slowking,Water,Psychic
misdreavus,Ghost,none
unown,Psychic,none
wobbuffet,Psychic,none
girafarig,Normal,Psychic
pineco,Bug,none
forretress,Bug,Steel
dunsparce,Normal,none
gligar,Ground,Flying
steelix,Steel,Ground
snubbull,Fairy,none
granbull,Fairy,none
qwilfish,Water,Poison
scizor,Bug,Steel
shuckle,Bug,Rock
heracross,Bug,Fighting
sneasel,Dark,Ice
teddiursa,Normal,none
ursaring,Normal,none
slugma,Fire,none
magcargo,Fire,Rock
swinub,Ice,Ground
piloswine,Ice,Ground
corsola,Water,Rock
remoraid,Water,none
octillery,Water,none
delibird,Ice,Flying
mantine,Water,Flying
skarmory,Steel,Flying
houndour,Dark,Fire
houndoom,Dark,Fire
kingdra,Water,Dragon
phanpy,Ground,none
donphan,Ground,none
porygon2,Normal,none
stantler,Normal,none
smeargle,Normal,none
tyrogue,Fighting,none
hitmontop,Fighting,none
smoochum,Ice,Psychic
elekid,Electric,none
magby,Fire,none
miltank,Normal,none
blissey,Normal,none
raikou,Electric,none
entei,Fire,none
suicune,Water,none
larvitar,Rock,Ground
pupitar,Rock,Ground
tyranitar,Rock,Dark
lugia,Psychic,Flying
ho-oh,Fire,Flying
celebi,Psychic,Grass
treecko,Grass,none
grovyle,Grass,none
sceptile,Grass,none
torchic,Fire,none
combusken,Fire,Fighting
blaziken,Fire,Fighting
mudkip,Water,none
marshtomp,Water,Ground
swampert,Water,Ground
poochyena,Dark,none
mightyena,Dark,none
zigzagoon,Normal,none
linoone,Normal,none
wurmple,Bug,none
silcoon,Bug,none
beautifly,Bug,Flying
cascoon,Bug,none
dustox,Bug,Poison
lotad,Water,Grass
lombre,Water,Grass
ludicolo,Water,Grass
seedot,Grass,none
nuzleaf,Grass,Dark
shiftry,Grass,Dark
taillow,Normal,Flying
swellow,Normal,Flying
wingull,Water,Flying
pelipper,Water,Flying
ralts,Psychic,Fairy
kirlia,Psychic,Fairy
gardevoir,Psychic,Fairy
surskit,Bug,Water
masquerain,Bug,Flying
shroomish,Grass,none
breloom,Grass,Fighting
slakoth,Normal,none
vigoroth,Normal,none
slaking,Normal,none
nincada,Bug,Ground
ninjask,Bug,Flying
shedinja,Bug,Ghost
whismur,Normal,none
loudred,Normal,none
exploud,Normal,none
makuhita,Fighting,none
hariyama,Fighting,none
azurill,Normal,Fairy
nosepass,Rock,none
skitty,Normal,none
delcatty,Normal,none
sableye,Dark,Ghost
mawile,Steel,Fairy
aron,Steel,Rock
lairon,Steel,Rock
aggron,Steel,Rock
meditite,Fighting,Psychic
medicham,Fighting,Psychic
electrike,Electric,none
manectric,Electric,none
plusle,Electric,none
minun,Electric,none
volbeat,Bug,none
illumise,Bug,none
roselia,Grass,Poison
gulpin,Poison,none
swalot,Poison,none
carvanha,Water,Dark
sharpedo,Water,Dark
wailmer,Water,none
wailord,Water,none
numel,Fire,Ground
camerupt,Fire,Ground
torkoal,Fire,none
spoink,Psychic,none
grumpig,Psychic,none
spinda,Normal,none
trapinch,Ground,none
vibrava,Ground,Dragon
flygon,Ground,Dragon
cacnea,Grass,none
cacturne,Grass,Dark
swablu,Normal,Flying
altaria,Dragon,Flying
zangoose,Normal,none
seviper,Poison,none
lunatone,Rock,Psychic
solrock,Rock,Psychic
barboach,Water,Ground
whiscash,Water,Ground
corphish,Water,none
crawdaunt,Water,Dark
baltoy,Ground,Psychic
claydol,Ground,Psychic
lileep,Rock,Grass
cradily,Rock,Grass
anorith,Rock,Bug
armaldo,Rock,Bug
feebas,Water,none
milotic,Water,none
castform,Normal,none
kecleon,Normal,none
shuppet,Ghost,none
banette,Ghost,none
duskull,Ghost,none
dusclops,Ghost,none
tropius,Grass,Flying
chimecho,Psychic,none
absol,Dark,none
wynaut,Psychic,none
snorunt,Ice,none
glalie,Ice,none
spheal,Ice,Water
sealeo,Ice,Water
walrein,Ice,Water
clamperl,Water,none
huntail,Water,none
gorebyss,Water,none
relicanth,Water,Rock
luvdisc,Water,none
bagon,Dragon,none
shelgon,Dragon,none
salamence,Dragon,Flying
beldum,Steel,Psychic
metang,Steel,Psychic
metagross,Steel,Psychic
regirock,Rock,none
regice,Ice,none
registeel,Steel,none
latias,Dragon,Psychic
latios,Dragon,Psychic
kyogre,Water,none
groudon,Ground,none
rayquaza,Dragon,Flying
jirachi,Steel,Psychic
deoxys-normal,Psychic,none
turtwig,Grass,none
grotle,Grass,none
torterra,Grass,Ground
chimchar,Fire,none
monferno,Fire,Fighting
infernape,Fire,Fighting
piplup,Water,none
prinplup,Water,none
empoleon,Water,Steel
starly,Normal,Flying
staravia,Normal,Flying
staraptor,Normal,Flying
bidoof,Normal,none
bibarel,Normal,Water
kricketot,Bug,none
kricketune,Bug,none
shinx,Electric,none
luxio,Electric,none
luxray,Electric,none
budew,Grass,Poison
roserade,Grass,Poison
cranidos,Rock,none
rampardos,Rock,none
shieldon,Rock,Steel
bastiodon,Rock,Steel
burmy,Bug,none
wormadam-plant,Bug,Grass
mothim,Bug,Flying
combee,Bug,Flying
vespiquen,Bug,Flying
pachirisu,Electric,none
buizel,Water,none
floatzel,Water,none
cherubi,Grass,none
cherrim,Grass,none
shellos,Water,none
gastrodon,Water,Ground
ambipom,Normal,none
drifloon,Ghost,Flying
drifblim,Ghost,Flying
buneary,Normal,none
lopunny,Normal,none
mismagius,Ghost,none
honchkrow,Dark,Flying
glameow,Normal,none
purugly,Normal,none
chingling,Psychic,none
stunky,Poison,Dark
skuntank,Poison,Dark
bronzor,Steel,Psychic
bronzong,Steel,Psychic
bonsly,Rock,none
mime-jr,Psychic,Fairy
happiny,Normal,none
chatot,Normal,Flying
spiritomb,Ghost,Dark
gible,Dragon,Ground
gabite,Dragon,Ground
garchomp,Dragon,Ground
munchlax,Normal,none
riolu,Fighting,none
lucario,Fighting,Steel
hippopotas,Ground,none
hippowdon,Ground,none
skorupi,Poison,Bug
drapion,Poison,Dark
croagunk,Poison,Fighting
toxicroak,Poison,Fighting
carnivine,Grass,none
finneon,Water,none
lumineon,Water,none
mantyke,Water,Flying
snover,Grass,Ice
abomasnow,Grass,Ice
weavile,Dark,Ice
magnezone,Electric,Steel
lickilicky,Normal,none
rhyperior,Ground,Rock
tangrowth,Grass,none
electivire,Electric,none
magmortar,Fire,none
togekiss,Fairy,Flying
yanmega,Bug,Flying
leafeon,Grass,none
glaceon,Ice,none
gliscor,Ground,Flying
mamoswine,Ice,Ground
porygon-z,Normal,none
gallade,Psychic,Fighting
probopass,Rock,Steel
dusknoir,Ghost,none
froslass,Ice,Ghost
rotom,Electric,Ghost
uxie,Psychic,none
mesprit,Psychic,none
azelf,Psychic,none
dialga,Steel,Dragon
palkia,Water,Dragon
heatran,Fire,Steel
regigigas,Normal,none
giratina-altered,Ghost,Dragon
cresselia,Psychic,none
phione,Water,none
manaphy,Water,none
darkrai,Dark,none
shaymin-land,Grass,none
arceus,Normal,none
victini,Psychic,Fire
snivy,Grass,none
servine,Grass,none
serperior,Grass,none
tepig,Fire,none
pignite,Fire,Fighting
emboar,Fire,Fighting
oshawott,Water,none
dewott,Water,none
samurott,Water,none
patrat,Normal,none
watchog,Normal,none
lillipup,Normal,none
herdier,Normal,none
stoutland,Normal,none
purrloin,Dark,none
liepard,Dark,none
pansage,Grass,none
simisage,Grass,none
pansear,Fire,none
simisear,Fire,none
panpour,Water,none
simipour,Water,none
munna,Psychic,none
musharna,Psychic,none
pidove,Normal,Flying
tranquill,Normal,Flying
unfezant,Normal,Flying
blitzle,Electric,none
zebstrika,Electric,none
roggenrola,Rock,none
boldore,Rock,none
gigalith,Rock,none
woobat,Psychic,Flying
swoobat,Psychic,Flying
drilbur,Ground,none
excadrill,Ground,Steel
audino,Normal,none
timburr,Fighting,none
gurdurr,Fighting,none
conkeldurr,Fighting,none
tympole,Water,none
palpitoad,Water,Ground
seismitoad,Water,Ground
throh,Fighting,none
sawk,Fighting,none
sewaddle,Bug,Grass
swadloon,Bug,Grass
leavanny,Bug,Grass
venipede,Bug,Poison
whirlipede,Bug,Poison
scolipede,Bug,Poison
cottonee,Grass,Fairy
whimsicott,Grass,Fairy
petilil,Grass,none
lilligant,Grass,none
basculin-red-striped,Water,none
sandile,Ground,Dark
krokorok,Ground,Dark
krookodile,Ground,Dark
darumaka,Fire,none
darmanitan-standard,Fire,none
maractus,Grass,none
dwebble,Bug,Rock
crustle,Bug,Rock
scraggy,Dark,Fighting
scrafty,Dark,Fighting
sigilyph,Psychic,Flying
yamask,Ghost,none
cofagrigus,Ghost,none
tirtouga,Water,Rock
carracosta,Water,Rock
archen,Rock,Flying
archeops,Rock,Flying
trubbish,Poison,none
garbodor,Poison,none
zorua,Dark,none
zoroark,Dark,none
minccino,Normal,none
cinccino,Normal,none
gothita,Psychic,none
gothorita,Psychic,none
gothitelle,Psychic,none
solosis,Psychic,none
duosion,Psychic,none
reuniclus,Psychic,none
ducklett,Water,Flying
swanna,Water,Flying
vanillite,Ice,none
vanillish,Ice,none
vanilluxe,Ice,none
deerling,Normal,Grass
sawsbuck,Normal,Grass
emolga,Electric,Flying
karrablast,Bug,none
escavalier,Bug,Steel
foongus,Grass,Poison
amoonguss,Grass,Poison
frillish,Water,Ghost
jellicent,Water,Ghost
alomomola,Water,none
joltik,Bug,Electric
galvantula,Bug,Electric
ferroseed,Grass,Steel
ferrothorn,Grass,Steel
klink,Steel,none
klang,Steel,none
klinklang,Steel,none
tynamo,Electric,none
eelektrik,Electric,none
eelektross,Electric,none
elgyem,Psychic,none
beheeyem,Psychic,none
litwick,Ghost,Fire
lampent,Ghost,Fire
chandelure,Ghost,Fire
axew,Dragon,none
fraxure,Dragon,none
haxorus,Dragon,none
cubchoo,Ice,none
beartic,Ice,none
cryogonal,Ice,none
shelmet,Bug,none
accelgor,Bug,none
stunfisk,Ground,Electric
mienfoo,Fighting,none
mienshao,Fighting,none
druddigon,Dragon,none
golett,Ground,Ghost
golurk,Ground,Ghost
pawniard,Dark,Steel
bisharp,Dark,Steel
bouffalant,Normal,none
rufflet,Normal,Flying
braviary,Normal,Flying
vullaby,Dark,Flying
mandibuzz,Dark,Flying
heatmor,Fire,none
durant,Bug,Steel
deino,Dark,Dragon
zweilous,Dark,Dragon
hydreigon,Dark,Dragon
larvesta,Bug,Fire
volcarona,Bug,Fire
cobalion,Steel,Fighting
terrakion,Rock,Fighting
virizion,Grass,Fighting
tornadus-incarnate,Flying,none
thundurus-incarnate,Electric,Flying
reshiram,Dragon,Fire
zekrom,Dragon,Electric
landorus-incarnate,Ground,Flying
kyurem,Dragon,Ice
keldeo-ordinary,Water,Fighting
meloetta-aria,Normal,Psychic
genesect,Bug,Steel
chespin,Grass,none
quilladin,Grass,none
chesnaught,Grass,Fighting
fennekin,Fire,none
braixen,Fire,none
delphox,Fire,Psychic
froakie,Water,none
frogadier,Water,none
greninja,Water,Dark
bunnelby,Normal,none
diggersby,Normal,Ground
fletchling,Normal,Flying
fletchinder,Fire,Flying
talonflame,Fire,Flying
scatterbug,Bug,none
spewpa,Bug,none
vivillon,Bug,Flying
litleo,Fire,Normal
pyroar,Fire,Normal
flabebe,Fairy,none
floette,Fairy,none
florges,Fairy,none
skiddo,Grass,none
gogoat,Grass,none
pancham,Fighting,none
pangoro,Fighting,Dark
furfrou,Normal,none
espurr,Psychic,none
meowstic-male,Psychic,none
honedge,Steel,Ghost
doublade,Steel,Ghost
aegislash-blade,Steel,Ghost
spritzee,Fairy,none
aromatisse,Fairy,none
swirlix,Fairy,none
slurpuff,Fairy,none
inkay,Dark,Psychic
malamar,Dark,Psychic
binacle,Rock,Water
barbaracle,Rock,Water
skrelp,Poison,Water
dragalge,Poison,Dragon
clauncher,Water,none
clawitzer,Water,none
helioptile,Electric,Normal
heliolisk,Electric,Normal
tyrunt,Rock,Dragon
tyrantrum,Rock,Dragon
amaura,Rock,Ice
aurorus,Rock,Ice
sylveon,Fairy,none
hawlucha,Fighting,Flying
dedenne,Electric,Fairy
carbink,Rock,Fairy
goomy,Dragon,none
sliggoo,Dragon,none
goodra,Dragon,none
klefki,Steel,Fairy
phantump,Ghost,Grass
trevenant,Ghost,Grass
pumpkaboo-average,Ghost,Grass
gourgeist-average,Ghost,Grass
bergmite,Ice,none
avalugg,Ice,none
noibat,Flying,Dragon
noivern,Flying,Dragon
xerneas,Fairy,none
yveltal,Dark,Flying
zygarde-50,Dragon,Ground
diancie,Rock,Fairy
hoopa-confined,Psychic,Ghost
volcanion,Fire,Water
rowlet,Grass,Flying
dartrix,Grass,Flying
decidueye,Grass,Ghost
litten,Fire,none
torracat,Fire,none
incineroar,Fire,Dark
popplio,Water,none
brionne,Water,none
primarina,Water,Fairy
pikipek,Normal,Flying
trumbeak,Normal,Flying
toucannon,Normal,Flying
yungoos,Normal,none
gumshoos,Normal,none
grubbin,Bug,none
charjabug,Bug,Electric
vikavolt,Bug,Electric
crabrawler,Fighting,none
crabominable,Fighting,Ice
oricorio-baile,Fire,Flying
cutiefly,Bug,Fairy
ribombee,Bug,Fairy
rockruff,Rock,none
lycanroc-midday,Rock,none
wishiwashi-solo,Water,none
mareanie,Poison,Water
toxapex,Poison,Water
mudbray,Ground,none
mudsdale,Ground,none
dewpider,Water,Bug
araquanid,Water,Bug
fomantis,Grass,none
lurantis,Grass,none
morelull,Grass,Fairy
shiinotic,Grass,Fairy
salandit,Poison,Fire
salazzle,Poison,Fire
stufful,Normal,Fighting
bewear,Normal,Fighting
bounsweet,Grass,none
steenee,Grass,none
tsareena,Grass,none
comfey,Fairy,none
oranguru,Normal,Psychic
passimian,Fighting,none
wimpod,Bug,Water
golisopod,Bug,Water
sandygast,Ghost,Ground
palossand,Ghost,Ground
pyukumuku,Water,none
type-null,Normal,none
silvally,Normal,none
minior-meteor,Rock,Flying
komala,Normal,none
turtonator,Fire,Dragon
togedemaru,Electric,Steel
mimikyu,Ghost,Fairy
bruxish,Water,Psychic
drampa,Normal,Dragon
dhelmise,Ghost,Grass
jangmo-o,Dragon,none
hakamo-o,Dragon,Fighting
kommo-o,Dragon,Fighting
tapu-koko,Electric,Fairy
tapu-lele,Psychic,Fairy
tapu-bulu,Grass,Fairy
tapu-fini,Water,Fairy
cosmog,Psychic,none
cosmoem,Psychic,none
solgaleo,Psychic,Steel
lunala,Psychic,Ghost
nihilego,Rock,Poison
buzzwole,Bug,Fighting
pheromosa,Bug,Fighting
xurkitree,Electric,none
celesteela,Steel,Flying
kartana,Grass,Steel
guzzlord,Dark,Dragon
necrozma,Psychic,none
magearna,Steel,Fairy
marshadow,Fighting,Ghost
poipole,Poison,none
naganadel,Poison,Dragon
stakataka,Rock,Steel
blacephalon,Fire,Ghost
zeraora,Electric,none
meltan,Steel,none
melmetal,Steel,none
